X,Y,Z
578656.67,1465530.5,487.17499
578648.03,1465530.5,500.83801
578639.39,1465530.5,500.83801
578630.75,1465530.5,500.83801
578622.11,1465530.5,500.83801
578613.47,1465530.5,500.83801
578604.83,1465530.5,500.83801
578596.19,1465530.5,500.83801
578587.55,1465530.5,500.83801
578578.91,1465530.5,500.83801
578570.27,1465530.5,500.83801
578561.63,1465530.5,513.96997
578552.99,1465530.5,513.96997
578544.35,1465530.5,513.96997
578535.71,1465530.5,513.96997
578527.07,1465530.5,513.96997
578518.43,1465530.5,513.96997
578509.79,1465530.5,513.96997
578501.16,1465530.5,513.96997
578492.52,1465530.5,513.96997
578483.88,1465530.5,513.96997
578475.23,1465530.5,529.94800
578466.6,1465530.5,529.94800
578457.96,1465530.5,529.94800
578449.32,1465530.5,529.94800
578440.68,1465530.5,529.94800
578432.04,1465530.5,529.94800
578423.4,1465530.5,529.94800
578414.76,1465530.5,529.94800
578406.12,1465530.5,529.94800
578397.48,1465530.5,529.94800
578388.84,1465530.5,529.94800
578380.2,1465530.5,545.05103
578371.56,1465530.5,545.05103
578362.92,1465530.5,545.05103
578354.28,1465530.5,545.05103
578345.64,1465530.5,545.05103
578337,1465530.5,545.05103
578328.36,1465530.5,545.05103
578319.72,1465530.5,545.05103
578311.08,1465530.5,545.05103
578302.44,1465530.5,545.05103
578293.8,1465530.5,559.28998
578285.16,1465530.5,559.28998
578276.52,1465530.5,559.28998
578267.88,1465530.5,559.28998
578259.24,1465530.5,559.28998
578250.6,1465530.5,559.28998
578241.96,1465530.5,559.28998
578233.32,1465530.5,559.28998
578224.68,1465530.5,559.28998
578216.04,1465530.5,559.28998
578207.4,1465530.5,559.28998
578198.76,1465530.5,569.40802
578190.12,1465530.5,569.40802
578181.48,1465530.5,569.40802
578172.84,1465530.5,569.40802
578164.2,1465530.5,569.40802
578155.56,1465530.5,569.40802
578146.92,1465530.5,569.40802
578138.29,1465530.5,569.40802
578129.65,1465530.5,569.40802
578121.01,1465530.5,569.40802
578112.36,1465530.5,580.90997
578103.73,1465530.5,580.90997
578095.09,1465530.5,580.90997
578086.45,1465530.5,580.90997
578077.81,1465530.5,580.90997
578069.17,1465530.5,580.90997
578060.53,1465530.5,580.90997
578051.89,1465530.5,580.90997
578043.25,1465530.5,580.90997
578034.61,1465530.5,580.90997
578025.97,1465530.5,580.90997
578017.33,1465530.5,598.54999
578008.69,1465530.5,598.54999
578000.05,1465530.5,598.54999
577991.41,1465530.5,598.54999
577982.77,1465530.5,598.54999
577974.13,1465530.5,598.54999
577965.49,1465530.5,598.54999
577956.85,1465530.5,598.54999
